name,ra,dec,trigger_time,t90,t90_error,t90_start,fluence,fluence_error,flux_1024,flux_1024_error,flux_1024_time,flux_64,flux_64_error,trigger_name,t50,t50_error,t50_start,cut_t90,relative_peak_time,relative_peak_time_error,cut_peak_time,t50_t90,t50_t90_error,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB190905985,234.48,3.12,58731.985051952,0.704,1.032,-0.576,5.5119e-07,1.9944e-08,2.7433,0.2944,-0.704,11.6003,1.7385,bn190905985,0.256,0.202,-0.128,True,0.6363636363636364,0.9328512396694215,True,0.36363636363636365,0.6053763631439351,True,True,True,True
GRB170918139,36.56,3.52,58014.139153701,0.128,0.163,-0.032,8.8478e-08,1.1721e-08,0.7217,0.2819,-0.128,7.1822,1.4642,bn170918139,0.032,0.045,-0.032,True,0.0,0.0,True,0.25,0.4742877639752481,True,True,True,True
GRB150215026,305.62,3.38,57068.026002282,0.512,0.716,-0.256,2.1518999999999998e-07,3.0305e-08,1.1037,0.1666,-0.512,2.6168,0.7431,bn150215026,0.256,0.231,-0.192,True,0.125,0.1748046875,True,0.5,0.832143570030183,True,True,True,True
GRB200710036,77.88,3.98,59040.036192972,0.288,1.314,-0.128,8.4878e-08,2.377e-08,0.8956,0.1855,-0.192,6.5247,0.9445,bn200710036,0.064,0.258,-0.096,True,0.11111111111111112,0.5069444444444445,True,0.22222222222222224,1.352955298641998,True,True,True,True
GRB211217295,8.88,4.45,59565.294795455,4.096,1.619,-1.28,1.2777999999999999e-06,4.5026e-08,7.2317,0.3476,0.768,10.8786,1.7366,bn211217295,1.536,0.362,-0.512,True,0.1875,0.0741119384765625,True,0.375,0.17257215525385727,True,True,True,True
GRB190605974,337.24,4.79,58639.973924975,3.584,0.516,-0.64,9.6376e-07,3.1526999999999995e-08,3.6343,0.2377,-0.32,5.2199,1.3517,bn190605974,1.536,0.345,0.0,True,0.17857142857142858,0.025709502551020405,True,0.42857142857142855,0.11433917677439376,True,True,True,True
GRB200306934,349.53,5.1,58914.934320911,0.992,1.226,-0.512,9.253899999999999e-08,1.4798999999999999e-08,1.5591,0.2516,-0.512,7.3297,1.3198,bn200306934,0.096,0.132,-0.064,True,0.45161290322580644,0.5581425598335068,True,0.0967741935483871,0.17891561804549064,True,True,True,True
GRB190525032,338.02,5.45,58628.031801524,0.896,0.202,-0.064,8.2689e-07,1.8407e-08,3.7283,0.1919,-0.064,8.0021,0.7541,bn190525032,0.448,0.143,0.064,True,0.14285714285714285,0.03220663265306123,True,0.5,0.1953922031251294,True,True,True,True
GRB220610906,160.73,24.81,59740.90598299,1.408,0.202,-0.064,1.072e-07,9.6479e-09,1.4216,0.192,-0.064,5.0777,0.9437,bn220610906,0.896,0.453,0.128,True,0.13636363636363638,0.019563533057851246,True,0.6363636363636365,0.33443555835055594,True,True,True,True
GRB140402007,207.592,5.971,56749.007025436,0.32,0.63,-0.128,2.8428e-07,2.9008e-08,1.3005,0.1697,-0.128,4.6006,0.7449,bn140402007,0.128,0.143,-0.064,True,0.2,0.39375,True,0.4,0.9054576277358317,True,True,True,True
GRB170318644,284.306,6.2987,57830.644364447,4.096,2.319,-2.112,5.0807e-07,5.164e-08,1.8627,0.2338,-0.768,3.7851,1.0556,bn170318644,1.152,0.692,-0.576,True,0.375,0.212310791015625,True,0.28125,0.2321587745604673,True,True,True,True
GRB210715866,322.3,6.6,59410.86563203,0.384,0.543,-0.064,6.0801e-07,1.6813e-08,3.6822,0.253,-0.064,8.1656,1.165,bn210715866,0.32,0.181,0.0,True,0.16666666666666666,0.23567708333333337,True,0.8333333333333334,1.2691599350147724,True,True,True,True
GRB151229486,346.49,6.91,57385.486185977,0.16,0.202,-0.064,1.4629e-07,1.0623e-08,1.1966,0.2342,-0.32,6.0491,1.4331,bn151229486,0.064,0.072,-0.032,True,0.2,0.2525,True,0.4,0.6764059432027487,True,True,True,True
GRB170912985,83.57,7.2,58008.984868895,0.48,1.0,-0.448,1.4207e-07,2.1381e-08,0.9995,0.1716,-0.192,6.9194,1.0165,bn170912985,0.064,0.072,-0.064,True,0.8,1.6666666666666667,True,0.13333333333333333,0.3156905032261194,True,True,True,True
GRB191117637,157.417,7.2333,58804.637249546,1.28,0.87,-0.512,4.8102e-07,3.3736e-08,3.5071,0.2566,-0.384,5.4492,1.0904,bn191117637,0.64,0.286,-0.192,True,0.25,0.169921875,True,0.5,0.4067162288627201,True,True,True,True
GRB210927031,236.37,7.8,59484.030530771,1.088,0.771,-0.32,1.6839e-07,1.6536e-08,1.1639,0.2194,-0.768,6.8598,1.0234,bn210927031,0.064,0.264,-0.064,True,0.23529411764705882,0.1667387543252595,True,0.058823529411764705,0.2462015605511682,True,True,True,True
GRB200824594,117.68,10.47,59085.594199283,3.584,4.104,-2.304,5.6679e-07,5.0826999999999996e-08,1.2125,0.1335,-0.896,3.1425,1.048,bn200824594,1.024,0.81,-0.512,True,0.49999999999999994,0.5725446428571428,True,0.2857142857142857,0.397639483036499,True,True,True,True
GRB171208733,125.49,9.05,58095.733214067,2.624,0.81,-0.896,8.493799999999999e-07,3.8614e-08,6.8543,0.3071,-0.256,10.1169,1.4122,bn171208733,0.832,0.272,-0.192,True,0.26829268292682923,0.08281900654372397,True,0.31707317073170727,0.14256577727449765,True,True,True,True
GRB180511437,257.78,9.07,58249.43741442,1.984,0.968,-0.256,7.6532e-07,1.8237e-08,5.4604,0.272,-0.128,7.6375,1.2015,bn180511437,0.768,0.181,0.128,True,0.1935483870967742,0.09443288241415193,True,0.3870967741935484,0.20974546620886453,True,True,True,True
GRB201214672,187.971,9.1031,59197.672067325,0.448,0.181,-0.448,9.5388e-08,1.3578000000000001e-08,1.3312,0.2001,-0.704,5.079,0.7505,bn201214672,0.256,0.389,-0.32,True,0.2857142857142857,0.11543367346938775,True,0.5714285714285714,0.8984713818693175,True,True,True,True
GRB210711432,342.69,9.29,59406.43187702,1.6,1.139,-0.704,1.2559999999999999e-07,8.0566e-09,1.1273,0.2221,-0.768,4.1493,1.1232,bn210711432,0.128,0.091,-0.192,True,0.32,0.22779999999999995,True,0.08,0.08048644684044637,True,True,True,True
GRB170124528,10.85,11.02,57777.528113792,0.448,0.559,-0.32,1.2704e-07,2.0608e-08,1.3224,0.2233,-0.384,6.9153,1.3474,bn170124528,0.128,0.091,-0.032,True,0.6428571428571429,0.8021364795918368,True,0.2857142857142857,0.4103116539974619,True,True,True,True
GRB210601724,275.16,11.25,59366.72376779,0.96,0.64,-0.768,2.0939999999999998e-07,1.9989e-08,1.5637,0.1947,-0.832,5.6416,1.1109,bn210601724,0.32,0.389,-0.32,True,0.4666666666666667,0.31111111111111117,True,0.33333333333333337,0.46214338624734264,True,True,True,True
GRB210929154,317.8,12.34,59486.153926575,1.92,1.675,-1.088,1.5297999999999998e-07,9.607199999999999e-09,0.7388,0.2029,-0.256,4.136,0.7841,bn210929154,0.192,0.202,-0.192,True,0.46666666666666673,0.40711805555555564,True,0.1,0.1366731074606537,True,True,True,True
GRB180721642,235.15,12.92,58320.642452938,0.064,0.072,-0.032,4.3443e-08,1.5102e-08,0.9794,0.1515,-0.64,5.2222,1.0762,bn180721642,0.032,0.091,-0.032,True,0.0,0.0,True,0.5,1.5290960616079685,True,True,True,True
GRB150901924,16.34,13.52,57266.924125821,0.256,1.145,-0.064,1.5455e-07,3.2352e-08,0.9455,0.2365,-0.256,7.0986,1.3136,bn150901924,0.128,0.202,-0.064,True,0.0,0.0,True,0.5,2.371451688643955,True,True,True,True
GRB210512789,137.93,14.16,59346.78892729,0.832,0.73,-0.192,1.9063e-07,1.9409e-08,1.993,0.2099,-0.384,4.8875,1.3176,bn210512789,0.256,0.143,-0.064,True,0.15384615384615385,0.13498520710059173,True,0.3076923076923077,0.3200391228724365,True,True,True,True
GRB150605782,217.86,14.71,57178.782164765,0.176,1.243,-0.048,7.6057e-08,1.8407e-08,0.7165,0.2186,-0.192,8.2619,1.2928,bn150605782,0.016,0.045,-0.032,True,0.09090909090909091,0.6420454545454547,True,0.09090909090909091,0.6910828878298463,True,True,True,True
GRB190724031,170.35,15.15,58688.030518429,0.08,1.136,-0.032,3.6814999999999997e-07,1.1379e-08,0.9402,0.1457,-0.128,9.0125,0.9422,bn190724031,0.032,0.023,-0.016,True,0.2,2.84,True,0.4,5.687271423978286,True,True,True,True
GRB210326057,58.01,15.06,59299.05723294,0.576,0.345,-0.128,1.5879e-07,2.6594e-08,1.3563,0.1859,-0.32,4.5274,0.9015,bn210326057,0.192,0.143,-0.064,True,0.11111111111111112,0.06655092592592593,True,0.33333333333333337,0.31858466724030726,True,True,True,True
GRB140122597,56.08,15.09,56679.597080816,3.584,1.864,-0.256,9.0539e-07,5.2716999999999995e-08,2.691,0.2436,-0.32,5.0875,1.5318,bn140122597,1.536,0.724,0.256,True,0.14285714285714285,0.0742984693877551,True,0.42857142857142855,0.3008155085809991,True,True,True,True
GRB191017957,134.55,15.33,58773.957182713,3.136,2.099,-0.32,3.2388999999999997e-07,3.6682e-08,3.1841,0.2444,-0.384,4.9894,1.0398,bn191017957,0.448,0.272,0.0,True,0.10204081632653061,0.06829836526447314,True,0.14285714285714285,0.12909552219081533,True,True,True,True
GRB220617772,156.96,15.53,59747.771677112,0.704,0.231,-0.128,6.5653e-07,1.0941e-08,6.0137,0.2319,-0.256,10.1034,1.2697,bn220617772,0.384,0.091,0.0,True,0.18181818181818182,0.05965909090909092,True,0.5454545454545455,0.22077446474179213,True,True,True,True
GRB210903021,270.9,15.59,59460.021366287,1.344,1.558,-1.024,3.2043e-08,9.737899999999999e-09,0.6797,0.1892,-0.448,2.9702,0.9595,bn210903021,0.256,1.073,-0.064,True,0.7142857142857142,0.8280187074829931,True,0.19047619047619047,0.8283347601400269,True,True,True,True
GRB200626105,87.35,16.13,59026.105228609,3.52,1.548,-0.576,3.7779e-07,1.0373e-08,2.9351,0.1956,-0.384,4.8968,1.0248,bn200626105,1.152,0.231,-0.256,True,0.0909090909090909,0.03997933884297521,True,0.32727272727272727,0.15818098706799652,True,True,True,True
GRB160727971,145.99,16.4,57596.97070913,3.136,2.294,-2.24,7.1259e-07,5.0472e-08,5.0111,0.2458,-0.448,7.6942,1.3077,bn160727971,1.28,0.516,-1.024,True,0.38775510204081637,0.28364483548521446,True,0.40816326530612246,0.3409102839903824,True,True,True,True
GRB170711713,278.61,17.24,57945.712922188,1.152,1.288,-0.832,5.599999999999999e-07,2.2029e-08,2.5569,0.1952,-0.576,5.5665,0.9214,bn170711713,0.384,0.143,-0.192,True,0.5555555555555555,0.621141975308642,True,0.33333333333333337,0.39281418875605095,True,True,True,True
GRB150728151,100.44,17.06,57231.151001083,1.728,0.373,0.0,6.3255e-07,1.8251000000000002e-08,2.5962,0.2086,-0.128,7.7948,1.0132,bn150728151,1.344,0.181,0.064,True,0.037037037037037035,0.007994684499314128,True,0.7777777777777778,0.1978840541868951,True,True,True,True
GRB141122956,75.71,17.94,56983.955887202,4.096,1.717,-2.048,2.2195999999999998e-07,2.8849000000000002e-08,0.9526,0.1788,-3.2,2.8368,1.0415,bn141122956,1.536,1.95,-1.28,True,0.1875,0.0785980224609375,True,0.375,0.5013554211310605,True,True,True,True
GRB210822729,238.17,18.02,59448.729450104,2.176,0.898,-0.064,9.050499999999999e-07,3.0178999999999995e-08,5.7171,0.2826,-0.064,9.7144,1.212,bn210822729,0.512,0.272,0.256,True,0.14705882352941177,0.06068879757785466,True,0.23529411764705882,0.15828396377302817,True,True,True,True
GRB140113624,329.37,18.13,56670.623909646,4.608,2.36,-0.768,5.7043e-07,3.8606999999999996e-08,3.3712,0.1981,-0.512,4.5908,1.1643,bn140113624,2.048,0.81,-0.256,True,0.11111111111111112,0.05690586419753087,True,0.4444444444444445,0.28759604644822173,True,True,True,True
GRB181126162,80.58,18.71,58448.161693865,1.664,0.453,-1.472,4.831599999999999e-07,3.1581e-08,1.5117,0.2185,-0.768,7.404,1.0236,bn181126162,1.152,0.181,-1.152,True,0.19230769230769235,0.05235299556213019,True,0.6923076923076923,0.2176075087714774,True,True,True,True
GRB140105748,252.88,19.03,56662.747600023,0.576,0.716,-0.192,1.303e-07,2.1942e-08,2.4291,0.2362,-0.256,4.8626,1.0805,bn140105748,0.384,0.231,-0.064,True,0.22222222222222224,0.2762345679012346,True,0.6666666666666667,0.9206433874932324,True,True,True,True
GRB180525151,103.29,19.93,58263.151378266,0.544,0.689,-0.064,1.4069e-07,1.4025e-08,1.3229,0.186,-0.128,8.9971,1.066,bn180525151,0.096,0.115,-0.032,True,0.058823529411764705,0.07450259515570933,True,0.1764705882352941,0.3076433757513047,True,True,True,True
GRB150721431,251.6,20.06,57224.431324621,0.32,0.181,-0.064,1.2084e-07,1.568e-08,1.3535,0.2447,-0.256,5.948,1.3672,bn150721431,0.192,0.202,-0.064,True,0.0,0.0,True,0.6,0.7166951605285193,True,True,True,True
GRB150412931,220.26,20.13,57124.93097456,0.64,0.861,-0.448,4.1528e-07,2.9661e-08,1.6511,0.2027,-0.192,4.9471,0.9535,bn150412931,0.256,0.143,-0.128,True,0.5,0.67265625,True,0.4,0.5826687155075773,True,True,True,True
GRB140224382,2.7800000000000002,20.37,56712.382143133,2.304,2.111,-0.512,6.5848e-07,4.2604e-08,4.0912,0.3016,-0.448,8.8097,1.353,bn140224382,1.024,1.056,0.0,True,0.22222222222222224,0.2036072530864198,True,0.4444444444444445,0.6131012138970483,True,True,True,True
GRB170325331,127.483,20.526,57837.331227327,0.576,0.326,-0.064,2.5747e-07,1.2379000000000001e-08,2.1362,0.2126,-0.32,8.0745,1.2088,bn170325331,0.128,0.091,0.0,True,0.11111111111111112,0.06288580246913582,True,0.22222222222222224,0.2019359005049895,True,True,True,True
GRB210912522,338.28,21.11,59469.521924672,2.56,5.184,-2.816,1.7788e-07,3.4572e-08,1.5454,0.187,-1.984,3.7043,1.1055,bn210912522,1.28,1.28,-2.048,True,0.29999999999999993,0.6074999999999998,True,0.5,1.1292281656069334,True,True,True,True
GRB200818998,207.61,22.12,59079.998128904,4.096,1.864,-4.352,6.721899999999999e-07,4.8559000000000005e-08,3.1861,0.2688,-2.752,5.2615,1.3985,bn200818998,2.048,1.145,-3.584,True,0.18750000000000006,0.08532714843750003,True,0.5,0.36044029239256176,True,True,True,True
GRB151024179,232.86,22.95,57319.179092135,4.608,2.36,-3.072,2.7879e-07,2.0322e-08,1.5156,0.1866,-0.512,3.5067,1.1285,bn151024179,1.792,0.362,-1.536,True,0.33333333333333337,0.17071759259259262,True,0.38888888888888895,0.21410375697595904,True,True,True,True
GRB150715136,157.26,23.57,57218.135742932,0.384,0.181,-0.192,5.2553e-07,1.9144000000000003e-08,1.5748,0.1693,-0.192,4.5781,0.8813,bn150715136,0.192,0.091,-0.064,True,0.3333333333333333,0.15711805555555555,True,0.5,0.33421970774108267,True,True,True,True
GRB170803172,76.5,23.97,57968.171710044,6.656,3.338,-0.768,3.3560999999999997e-07,3.3008999999999995e-08,2.4425,0.195,-1.024,4.9458,1.3506,bn170803172,4.096,1.448,-0.256,True,0.07692307692307693,0.03857710798816569,True,0.6153846153846154,0.37758645958202364,True,True,True,True
GRB171008080,232.59,24.02,58034.079616833,1.472,1.537,-1.024,1.1212e-07,3.5789e-08,1.8452,0.4384,-0.448,7.0458,2.3352,bn171008080,0.384,0.64,-0.128,True,0.6086956521739131,0.6355741965973536,True,0.2608695652173913,0.5130610609085349,True,True,True,True
GRB140819160,287.49,24.1,56888.160024714,6.656,3.665,-0.512,3.356e-07,2.5916e-08,4.7951,0.2028,-0.576,10.9489,1.4063,bn140819160,4.352,2.111,-0.256,True,0.038461538461538464,0.021178115754437874,True,0.653846153846154,0.47980098679229266,True,True,True,True
GRB140501139,171.88,24.64,56778.138673675,0.256,0.63,-0.128,2.0736999999999998e-07,1.9305e-08,0.9239,0.1968,-0.448,5.6356,1.2761,bn140501139,0.064,0.091,-0.064,True,0.25,0.6152343750000001,True,0.25,0.7105430095414373,True,True,True,True
GRB180418281,170.121,24.9328,58226.28062826,2.56,0.202,-0.064,5.8969e-07,9.7225e-09,4.9001,0.2628,-0.064,7.5584,1.1389,bn180418281,0.512,0.091,0.064,True,0.05,0.0039453125,True,0.2,0.03889252079549647,True,True,True,True
GRB140831215,280.37,25.64,56900.214597868,0.704,1.18,-0.384,5.7882e-08,1.9431e-08,1.1921,0.3126,-0.576,3.3378,1.3762,bn140831215,0.192,0.453,-0.192,True,0.27272727272727276,0.4571280991735538,True,0.27272727272727276,0.7893126599872934,True,True,True,True
GRB141208632,359.26,26.44,56999.631924993,0.96,0.834,-0.96,1.909e-07,3.7412e-08,2.2652,0.2595,-0.96,6.7821,1.4608,bn141208632,0.576,0.429,-0.64,True,0.3333333333333333,0.28958333333333325,True,0.6,0.6865849023427474,True,True,True,True
GRB171011810,177.04,26.93,58037.810045671,0.48,0.935,-0.448,1.0383e-07,1.4495e-08,0.7683,0.1296,-0.512,4.7832,0.6365,bn171011810,0.064,0.358,-0.128,True,0.6666666666666667,1.2986111111111114,True,0.13333333333333333,0.7897613524522206,True,True,True,True
GRB170504734,292.76,27.64,57877.734386405,0.704,1.139,-0.832,1.2183e-07,2.6731e-08,1.4536,0.3099,-0.96,4.2877,1.227,bn170504734,0.256,0.429,-0.448,True,0.5454545454545454,0.8824896694214877,True,0.36363636363636365,0.8470335873025465,True,True,True,True
